3Ltr,Company,Country,Telephony,FriendlyName
REC,TRANS RECO,MAURITANIA,TRANS-RECO,Trans Reco
RED,COMITE INTERNATIONAL DE LA CROIX-ROUGE RED CROSS (INTERNATIONAL COMMITTEE),SWITZERLAND,RED CROSS,International Committee of the Red Cross
REE,EXCLUSIVE AVIATION,BAHAMAS,SKYFALL,Exclusive Aviation
REF,REEF AIR LTD (AIR TRANSPORT (CHATHAM ISLANDS) LTD),NEW ZEALAND,REEF AIR,Reef Air
REG,REGIONAL AIR SERVICES,UNITED REPUBLIC OF TANZANIA,REGIONAL SERVICES,Regional Air Services
REH,"REACH AIR MEDICAL SERVICES (SANTA ROSA, CA)",UNITED STATES,REACHMED,Reach Air Medical Services
REJ,SA AIRLINK REGIONAL (PTY) LTD,SOUTH AFRICA,REGIONAL LINK,SA Airlink Regional
REL,"RELIANCE AVIATION (FORT LAUDERDALE, FL)",UNITED STATES,RELIANCE AIR,Reliance Aviation
REM,ROSE AIR LTD.,BULGARIA,ROSE,Rose Air
REN,ARENA AVIATION LIMITED,UNITED KINGDOM,ARENA,Arena Aviation Limited
REO,"RIO AIRWAYS (KILLEEN, TX)",UNITED STATES,RIO,Rio Airways
RER,SERVICIO AEREO REGIONAL REGAIR CIA. LTDA.,ECUADOR,REGAIR,Aeroregional
REU,AIR AUSTRAL,FRANCE,REUNION,Air Austral
REV,RVL AVIATION LTD,UNITED KINGDOM,ENDURANCE,RVL Aviation
REX,"RAM AIR FREIGHT, INC. (HILLSBOROUGH, NC)",UNITED STATES,RAM EXPRESS,Ram Air Freight
REY,"AERO-REY, S.A. DE C.V.",MEXICO,AEROREY,Aero-Rey
RFA,AL-RAFEDAIN FALCON AIR CARGO,IRAQ,,Al Rafedain Falcon Air Cargo
RFD,"AEROTRANSPORTES RAFILHER, S.A. DE C.V.",MEXICO,RAFILHER,Aerus
RFE,TULPAR AIRCOMPANY LIMITED TRADE DEVELOPMENT,RUSSIAN FEDERATION,RUSSIAN EXPRESS,Jet Express
RFF,RUSSIAN FEDERATION AIR FORCE,RUSSIAN FEDERATION,RUSSIAN AIRFORCE,Russian Federation Air Force
RFH,"YUNNAN RUIFENG GENERAL AVIATION CO., LTD.",CHINA,NUT,Yunnan Ruifeng General Aviation
RFI,NATIONAL AIR TRAFFIC SERVICES LTD,UNITED KINGDOM,SHERLOCK,National Air Traffic Services
RFR,ROYAL AIR FORCE,UNITED KINGDOM,RAFAIR,Royal Air Force
RFT,SCOALA SUPERIOARA DE AVIATIE CIVILA,ROMANIA,ROMANIAN ACADEMY,Scoala Superioara De Aviatie Civila
RFX,"J P HUNT, INC., AIR CARRIERS (GENTRY, AR)",UNITED STATES,REFLEX,J P Hunt Air Carriers
RFY,AEROFLY S.A. DE C.V.,MEXICO,AEROFIL,Aerofly
RGA,SWISS AIR AMBULANCE LTD (HELICOPTER RESCUE GUARD),SWITZERLAND,REGA,Swiss Air Ambulance
RGB,REGIONAL AIR,BAHAMAS,REGIONAL AIR,Regional Air
RGC,SERVICIOS AEREOS REGIOMONTANOS,MEXICO,REGIOMONTANO,Servicios Aereos Regiomontanos
RGD,WORLD AIR CARGO COMPANY (INTERNATIONAL AIR COMPANY),KUWAIT,KUWAIT CARGO,World Air Cargo Company
RGE,REGENT AIRWAYS,BANGLADESH,REGENT,Regent Airways
RGG,ROYAL AIR (GAMBIA) LIMITED,GAMBIA,,Royal Air Limited
RGK,REAL AEROCLUB DE GRAN CANARIA,SPAIN,GRANCA,Real Aeroclub De Gran Canaria
RGL,"TRADECRAFT FLYING SERVICE, LLC",UNITED STATES,RIDGELINE,Tradecraft Flying Service
RGM,RAFFLES GLOBAL ANGKASA,INDONESIA,BLACK STONE,RGA-Black Stone Airlines
RGN,"CYGNUS AIR, S.A.",SPAIN,CYGNUS AIR,Cygnus Air
RGO,REGIONAL LINHAS AEREAS LTDA,BRAZIL,PASSARO,Regional Linhas Aereas
RGP,RIVER STATE GOVERNMENT OF NIGERIA,NIGERIA,GARDEN CITY,River State Government of Nigeria
RGR,"AVIOR REGIONAL, C.A.",VENEZUELA,AVIOR REGIONAL,Avior Regional
RGS,"RENOWN AVIATION, INC. (SANTA MARIA, CA)",UNITED STATES,RENOWN,Renown Aviation
RGV,"RG AVIATION, C.A.",VENEZUELA,VOLON,RG Aviation
RGY,"REGENCY AIR, LLC (SANTA ANA, CA)",UNITED STATES,REGENCY,Regency Airlines
RHC,REDHILL AVIATION LTD,UNITED KINGDOM,REDAIR,Redhill Aviation
RHD,BABCOCK MISSION CRITICAL SERVICES ONSHORE LTD,UNITED KINGDOM,RED HEAD,Babcock
RHE,UNC AIR OPERATIONS,UNITED STATES,TAR HEEL,UNC Air Operations
RHH,REDSTAR AVIATION,TURKEY,STAR CRESCENT,Redstar Aviation
RHK,SOVEREIGN BUSINESS JETS LTD,UNITED KINGDOM,REDHAWK,Sovereign Business Jets
RHL,AIR ARCHIPELS,FRANCE,ARCHIPELS,Air Archipels
RHT,BUSY BEE CONGO,DEMOCRATIC REPUBLIC OF THE CONGO,YELLOW BEE,Busy Bee
RIA,"RICH INTERNATIONAL AIRWAYS, INC. (MIAMI, FL)",UNITED STATES,RICHAIR,Rich International Airways
RIC,"RICHARDSON'S AIRWAY, INC. (YAKIMA, WA)",UNITED STATES,RICHARDSON,Richardson's Airway
RIE,ARIELLA AIRLINES SA,BURKINA FASO,ARIEL,Ariella
RIF,FEDERAL SERVICE OF THE NATIONAL GUARD TROOPS OF THE RUSSIAN FEDERATION,RUSSIAN FEDERATION,INTERMIN AVIA,Aviation Ministry of the Interior of the Russian Federation
RIH,RAHILA AIRLINES,LIBYA,RAHILA,Rahila Airlines
RII,"TICA AIR INTERNATIONAL, S.A. (AIR COSTA RICA)",COSTA RICA,TICA,Tica Air International
RIL,REGIONAL AIR,MAURITANIA,,Regional Air
RIM,"RIMROCK AIRLINES, INC. (SPOKANE, WA)",UNITED STATES,RIMROCK,Rimrock Airlines
RIN,LITTLE RISSINGTON (RAF),UNITED KINGDOM,RISSINGTON,Little Rissington
RIO,RIO LINHAS AEREAS LTDA,BRAZIL,RIO LINHAS,Rio Linhas Aereas
RIS,AERIS GESTION S.L.,SPAIN,AERIS,Aeris Gestion
RIV,APG AIRLINES,FRANCE,RIVIERA,APG Airlines
RIX,"RECTRIX AVIATION, INC. (BEDFORD, MA)",UNITED STATES,RECTRIX,Rectrix Aviation
RJA,ROYAL JORDANIAN,JORDAN,JORDANIAN,Royal Jordanian
RJB,PANELLENIC AIRLINES,GREECE,PANELLENIC,Panellenic Airlines
RJC,"RICHMOR AVIATION, INC. (HUDSON, NY)",UNITED STATES,COLUMBIA JET,Richmor Aviation
RJD,ROTANA JET AVIATION,UNITED ARAB EMIRATES,ROTANA,Rotana Jet
RJE,"MIDWEST JET, LLC D/B/A REYNOLDS JET MANAGEMENT (CINCINNATI, OH)",UNITED STATES,REYNOLDS JET,Midwest Jet
RJJ,ROTORJET,PANAMA,MAVEX,Rotorjet
RJM,"MILLEN CORPORATION, THE",UNITED KINGDOM,MILLEN,Millen Corporation
RJR,AVIONCO US LTD,UNITED STATES,JUMPJET,Avionco US
RJS,"AEROSERVICIOS JET, S.A. DE C.V.",MEXICO,ASERJET,Aeroservicios Jet
RJT,"RA JET AEROSERVICIOS, S.A. DE C.V.",MEXICO,RA JET,RA Jet Aeroservicios
RJZ,ROYAL JORDANIAN AIR FORCE,JORDAN,JORDAN AIR FORCE,Royal Jordanian Air Force
RKA,POLAR AIRLINES OPEN JOINT-STOCK COMPANY,RUSSIAN FEDERATION,AIR SAKHA,Polar Airlines
RKJ,CHARTER AIRLINES LLC,UNITED STATES,ARCA JET,Charter Airlines
RKK,STEPHENS INVESTMENTS HOLDINGS,UNITED STATES,ROCKTOWN,Stephens Investments Holdings
RKS,"ACP JET CHARTERS, INC. DBA PHENIX JET",UNITED STATES,ROCKSTAR,Phenix Jet
RKT,RAYANI AIR,MALAYSIA,BLUE GREEN,Rayani Air
RKW,RJM AVIATION,CHAD,BONGOR,RJM Aviation
RLA,TARP AVIATION,RUSSIAN FEDERATION,ROLEMA,Tarp Aviation
RLB,SUNLIGHT EXPRESS AIRWAYS,PHILIPPINES,SUNLIGHT,Sunlight Air
RLC,REAL AEROCLUB DE LLEIDA,SPAIN,,Real Aeroclub De Lleida
RLE,RLA-RICO LINHAS AEREAS S/L,BRAZIL,RICO,Rico Linhas Aereas
RLH,"RUILI AIRLINES CO., LTD",CHINA,SENDI,Ruili Airlines
RLI,"RELIANT AIR CHARTER, INC. (DANBURY, CT)",UNITED STATES,RELIANT,Reliant Air
RLJ,"EMPYREAL JET, INC.",UNITED STATES,REAL JET,Empyreal Jet
RLK,AIR NELSON LTD,NEW ZEALAND,,Air Nelson
RLM,"ROYAL AMERICAN AIRWAYS (TUCSON, AZ)",UNITED STATES,ROYAL AMERICAN,Royal American Airways
RLO,REVILO AEROSPACE LTD,NIGERIA,REVILO,Revilo Aerospace
RLP,AIRLINAIR,PORTUGAL,,Airlinair
RLR,"BUSINESS AIRFREIGHT (BENNINGTON, VT)",UNITED STATES,RATTLER,Business Airfreight
RLT,REAL TONGA AIRLINE,TONGA,REAL TONGA,Real Tonga Airline
RLU,RUSLINE,RUSSIAN FEDERATION,RUSLINE AIR,Rusline
RLV,RELATIVE AVIATION LTD,SAN MARINO,RELATIVE,Relative Aviation
RLX,"GO2SKY, S.R.O.",SLOVAKIA,RELAX,Go2Sky
RLY,AIR LOYAUTE,FRANCE,LOYAUTE,Air Loyaute
RLZ,AIR ALIZE,FRANCE,ALIZE,Air Alize
RMA,ROCKY MOUNTAIN AIRWAYS,UNITED STATES,ROCKY MOUNTAIN,Rocky Mountain Airways
RMD,AIR AMDER SA,MAURITANIA,AIR AMDER,Air Amder
RMF,ROYAL MALAYSIAN AIR FORCE,MALAYSIA,ANGKASA,Royal Malaysian Air Force
RMG,RUMUGU AIR & SPACE NIGERIA LIMITED,NIGERIA,RUMUGU AIR,Rumugu Air & Space Nigeria
RMI,POINT AIRLINES LIMITED,NIGERIA,POINT AIRLINE,Point Airlines
RMK,SIMRIK AIRLINES PVT. LTD,NEPAL,SIMRIK AIR,Simrik Airlines
RMN,CLASSIC FLIGHT TRAINING SERVICES LTD,UNITED KINGDOM,RAINMAN,Classic Flight Training Services
RMO,ARM-AERO,ARMENIA,ARM-AERO,Arm-Aero
RMS,"TAS AVIATION, INC. (DEFIANCE, OH)",UNITED STATES,TASS AIR,Tas Aviation
RMT,"RAM AIRCRAFT CORPRATION (WACO, TX)",UNITED STATES,RAM FLIGHT,Ram Aircraft Corporation
RMU,"C.S.P., SOCIETE",MAURITANIA,AIR-MAUR,CSP Societe
RMX,AIR MASTER,EGYPT,AIR MASTER,Air Master
RMY,RAYA AIRWAYS SDN. BHD.,MALAYSIA,RAYA EXPRESS,Raya Airways
RNA,NEPAL AIRLINES CORPORATION,NEPAL,ROYAL NEPAL,Nepal Airlines
RNG,RENEGADE AIR LIMITED,KENYA,RENEGADE,Renegade Air
RNI,RENNIA AVIATION LLC,UNITED STATES,RENNIA,Rennia Aviation
RNO,AIRONE GMBH,AUSTRIA,ARNIE,Airone Austria
RNR,"AIR CARGO MASTERS, INC. (SIOUX FALLS, SD)",UNITED STATES,RUNNER,Air Cargo Masters
RNX,1 TIME AIRLINE (PTY) LTD,SOUTH AFRICA,NEXTIME,1 Time Airline
ROB,SLL RESOURCES LIMITED,SAN MARINO,BAT JET,Sll Resources Limited
ROD,"AERODAN, S.A. DE C.V.",MEXICO,AERODAN,Aerodan
ROE,AEROESTE SRL,BOLIVIA,ESTE-BOLIVIA,Aeroeste
ROF,ROMANIAN AIR FORCE,ROMANIA,ROMAF,Romanian Air Force
ROG,FUNDACION REGO,SPAIN,REGO,Cesda Flight School
ROH,ABERDAIR AVIATION GH LTD,GHANA,,Aberdair Aviation Ghana
ROI,"AVIOR AIRLINES, C.A.",VENEZUELA,AVIOR,Avior Airlines
ROJ,ROYAL JET,UNITED ARAB EMIRATES,ROYALJET,Royal Jet
ROK,RED ROCK FLIGHT SCHOOL,UNITED STATES,RED ROCK,Red Rock Flight School
ROM,ENCOMPASS AVIATION,UNITED STATES,ROME,Encompass Aviation
RON,NAURU AIR CORPORATION,NAURU,AIR NAURU,Nauru Airlines
ROO,"AERO ROA, S.A.DE C.V.",MEXICO,AERO ROA,Aero Roa
ROP,ROYAL OMAN POLICE,OMAN,,Royal Oman Police
ROR,RORAIMA AIRWAYS,GUYANA,RORAIMA,Roraima Airways
ROT,COMPANIA NATIONALA DE TRANSPORTURI AERIENE ROMANE TAROM S.A.,ROMANIA,TAROM,Tarom
ROU,AIR CANADA ROUGE,CANADA,ROUGE,Air Canada Rouge
ROV,"ROVER AIRWAYS INTERNATIONAL, INC. (PAGOSA SPRINGS, CO)",UNITED STATES,ROVERAIR,Rover Airways International
ROW,NOR AVIATION,NORWAY,ROTORWING,Nor Aviation
ROX,"ROBLEX AVIATION, INC. (BAYAMON, PR)",UNITED STATES,ROBLEX,Roblex Aviation
ROY,ROY RITTER SKY DIVE,ISRAEL,SKY DIVE,Roy Ritter Sky Dive
RPA,"REPUBLIC AIRLINES, INC. (INDIANAPOLIS, IN)",UNITED STATES,BRICKYARD,Republic Airways
RPB,AEROREPUBLICA,COLOMBIA,AEROREPUBLICA,AeroRepublica
RPC,AEROLINEAS DEL PACIFICO - AEROPACSA,ECUADOR,AEROPACSA,Aerolineas Del Pacifico
RPM,"POLARIS AVIATION SOLUTIONS (TETERBORO, NJ)",UNITED STATES,COBALT,Polaris Aviation Solutions
RPN,"U.S. IMMIGRATION AND CUSTOM ENFORCEMENT (KANSAS CITY, MO)",UNITED STATES,REPATRIATE,U.S. Immigration and Custom Enforcement
RPP,GOVERNMENT OF THE PHILIPPINES,PHILIPPINES,PILIPINAS,Government of the Philippines
RPR,"ADMINISTRACION PROFESIONAL DE AERONAVES, S.A. DE C.V.",MEXICO,AEROPROFESIONAL,Administracion Profesional De Aeronaves
RPS,"GLOBAL AIR CHARTER, INC. (ENGLEWOOD, CO)",UNITED STATES,RESPONSE,Global Air Charter
RPX,BAC EXPRESS AIRLINES LIMITED,UNITED KINGDOM,RAPEX,BAC Express Airlines
RQT,"AIRQUEST AVIATION, LP (BUTLER, PA)",UNITED STATES,AIR QUEST,Airquest Aviation
RRA,ROYAL RWANDA AIRLINES,RWANDA,ROYAL RWANDA,Royal Rwanda Airlines
RRB,AERO CLUB DE CASTELLON,SPAIN,,Aero Club de Castellon
RRC,"AERO ROCA, S.A. DE C.V.",MEXICO,AEROROCA,Aero Roca
RRE,"AEROTRANSPORTES INTERNACIONALES DE TORREON, S.A. DE C.V.",MEXICO,AERO TORREON,Aerotransportes Internacionales De Torreon
RRF,UK ROYAL POSITIONING FLIGHTS (IN MILITARY AIRCRAFT),UNITED KINGDOM,KITTY,UK Royal Positioning Flights
RRL,ROLLS ROYCE LTD. (MILITARY AVIATION),UNITED KINGDOM,MERLIN,Rolls Royce
RRO,"AEROCREDO, CLOSED CORPORATION",RUSSIAN FEDERATION,,Aerocredo
RRR,RAF-HQSTC (AIR TRANSPORT),UNITED KINGDOM,ASCOT,RAF HQSTC
RRS,BOSCOMBE DOWN DERA (FORMATION),UNITED KINGDOM,BLACKBOX,Boscombe Down DERA
RRT,"TRANSPORTES AEREOS SIERRA ALTA, S.A. DE C.V.",MEXICO,SIERRA ALTA,Transportes Aereos Sierra Alta
RRV,MOMBASA AIR SAFARI LTD,KENYA,SKYROVER,Mombasa Air Safari
RRZ,ROLLRIGHT AVIATION LTD,UNITED KINGDOM,ROLLRIGHT,Rollright Aviation
RSA,ELISRA AIRLINES,SUDAN,ESRA,Elisra Airlines
RSB,RUBYSTAR,BELARUS,RUBYSTAR,Rubystar
RSC,"CANARIAS AIRLINES, COMPANIA DE AVIACION S.L.U.",SPAIN,,Canarias Airlines
RSD,"SPECIAL DETACHMENT - RUSSIA, FEDERAL STATE BUDGET INSTITUTION",RUSSIAN FEDERATION,STATE AERO,Special Detachment Russia
RSE,IROSE LTD.,BAHAMAS,IROSE,Irose
RSF,ROYAL SAUDI AIR FORCE,SAUDI ARABIA,ARSAF,Royal Saudi Air Force
RSG,THE RED SEA AIR SERVICES COMPANY,SAUDI ARABIA,,The Red Sea Air Services Company
RSH,AIR SAHARA,INDIA,SAHARA,Air Sahara
RSI,"AIR SUNSHINE INC (FT. LAUDERDALE, FL)",UNITED STATES,AIR SUNSHINE,Air Sunshine
RSJ,"RUSJET, JOINT-STOCK COMPANY",RUSSIAN FEDERATION,RUSJET,Rusjet
RSK,"DSWA, LLC (DULLES, VA)",UNITED STATES,REDSKIN,DSWA
RSL,"PANAMA AIRCRAFT RENTAL AND SALES, INC.",PANAMA,PANAMA RENTAL,Panama Aircraft Rental and Sales
RSM,ROYAL STAR AVIATION INC.,PHILIPPINES,ROYAL STAR,Royal Star Aviation
RSO,AERO ASIA,PAKISTAN,AERO ASIA,Aero Asia
RSP,"SUPERIOR AIR CHARTER DBA JETSUITE AIR (MEDFORD, OR)",UNITED STATES,RED STRIPE,JetSuite
RSQ,INTERNATIONAL SOS WINDHOEK,NAMIBIA,SKYMEDIC,International SOS Windhoek
RSR,AEROSERVICE,CONGO,CONGOSERV,Aeroservice
RSS,ROSSAIR (PTY) LTD,SOUTH AFRICA,ROSS CHARTER,Rossair
RST,"RESORT AIR (BALTIMORE, MD)",UNITED STATES,RESORT AIR,Resort Air
RSU,"AEROSUR, COMPANIA BOLIVIANA DE TRANSPORTE AEREO PRIVADO S.A.",BOLIVIA,AEROSUR,AeroSur
RSV,RED SKY VENTURES CC,NAMIBIA,RED SKY,Red Sky Ventures
RSW,"ROYAL SKYWAYS CO., LTD",THAILAND,ROYAL SKY,Royal Skyways
RSX,RED SEA AIRLINES,EGYPT,RED SEA,Red Sea Airlines
RSY,I FLY LTD,RUSSIAN FEDERATION,RUSSIAN SKY,I-Fly
RTD,"L-3 COMMUNICATIONS FLIGHT INTERNATIONAL AVIATION LLC (NEWPORT NEWS, VA)",UNITED STATES,RIPTIDE,L3 Communications Flight International Aviation
RTE,"AERO TRANSPORTE LA MONTANA, C. A.",VENEZUELA,LA MONTANA,Aero Transporte La Montana
RTF,RUTA,SPAIN,,Ruta
RTG,RELY AS,NORWAY,REITAN,Rely As
RTH,"ROTORSUN, S.L.",SPAIN,,Rotorsun
RTI,ROTOR ITALIA S.A.S. DI RUSPA PAOLA E.C.,ITALY,ROTORITALIA,Rotor Italia Di Ruspa Paola
RTL,AIR THANLWIN LIMITED.,MYANMAR,ROYAL BIRD,Air Thanlwin
RTM,TRANS AM COMPANIA LTDA.,ECUADOR,AERO TRANSAM,Trans Am Compania
RTN,"RAYTHEON AIRCRAFT COMPANY (WICHITA, KS)",UNITED STATES,RAYTHEON,Raytheon Aircraft Company
RTO,RECTIMO AIR TRANSPORTS,FRANCE,RACCOON,Rectimo Air Transports
RTS,RELIEF TRANSPORT SERVICES LTD.,UNITED KINGDOM,RELIEF,Relief Transport Services
RTU,"AEROTUCAN, S.A. DE C.V.",MEXICO,AEROTUCAN,Aerotucan
RTV,NORTAVIA,PORTUGAL,TIC-TAC,Nortavia
RTY,AIMS COMMUNITY COLLEGE,UNITED STATES,AIMS COLLEGE,Aims Community College
RTZ,REGIONAL AIR SERVICES,ROMANIA,AEROTUZLA,Regional Air Services
RUA,RWANDA AIRLINES,RWANDA,,Rwanda Airlines
RUC,"RUTAS AEREAS, C.A.",VENEZUELA,RUTACA,Rutaca
RUF,"AIR 1ST AVIATION COMPANIES OF OKLAHOMA, INC. (TULSA, OK)",UNITED STATES,ROUGH RIDER,Air 1st Aviation Companies of Oklahoma
RUH,"RUSICH-T, AIRCOMPANY CJSC",RUSSIAN FEDERATION,,Rusicht Aircompany
RUK,RYANAIR UK LIMITED,UNITED KINGDOM,BLUE MAX,Ryanair UK
RUN,ACT HAVAYOLLARI A.S.,TURKEY,CARGO TURK,ACT Airlines
RUR,"RUSSAIR AIRCOMPANY, CLOSED JOINT STOCK COMPANY",RUSSIAN FEDERATION,RUSSTAR,Russair Aircompany
RUS,SKY ATLAS,RUSSIAN FEDERATION,,Sky Atlas
RUT,REUT AIRWAYS LTD,ISRAEL,YADID,Reut Airways
RVA,"RAVEN AIR (ANCHORAGE, AK)",UNITED STATES,RAVEN AIR,Raven Air
RVC,"RICHARDS AVIATION, INC. (MEMPHIS, TN)",UNITED STATES,RIVER CITY,Richards Aviation
RVE,AIRVENTURE,BELGIUM,AIRVENTURE,Airventure
RVF,RAVN ALASKA (ANCHORAGE AK),UNITED STATES,RAVEN FLIGHT,New Pacific Airlines
RVG,"AEROTOURS LA VINA, S.A. DE C.V.",MEXICO,AERO VINA,Aerotours La Vina
RVJ,"AIRCRAFT MANAGEMENT GROUP, INC. (MOON TOWNSHIP, PA)",UNITED STATES,RIVERS JET,Aircraft Management Group
RVM,RIVER MINISTRIES AIR CHARTER SERVICES (PTY) LTD,SOUTH AFRICA,RIVER,River Ministries Air Charter
RVN,"QUALIFLIGHT TRAINING, INC. D/B/A/ RAVEN AIR (FORT WORTH, TX)",UNITED STATES,RAVEN U-S,Raven Air
RVP,SEVENAIR,PORTUGAL,SEVAIR,Sevenair
RVQ,"AERO JET INTERNATIONAL (FORT LAUDERDALE, FL)",UNITED STATES,REVA AIR,REVA Air Ambulance
RVR,RAVEN AIR LTD.,UNITED KINGDOM,RAVEN,Ravenair
RVS,AIR SERVICE S.A.,GABON,,Air Service
RVT,AIRLINE ROSTVERTOL-AVIA CJSC,RUSSIAN FEDERATION,ROSTVERTOL,Airline Rostvertol Avia
RVU,SKY TRAVEL LTD,GEORGIA,GEORGIAN BALLOON,Sky Travel
RVV,"REEVE AIR ALASKA, INC",UNITED STATES,REEVE,Reeve Aleutian Airways
RWA,RWANDA AIRWAYS,RWANDA,,Rwanda Airways
RWB,ALLIANCE EXPRESS RWANDA,RWANDA,,Alliance Express Rwanda
RWD,RWANDAIR LTD.,RWANDA,RWANDAIR,Rwandair
RWE,"ROYAL WEST AIRLINES (LAS VEGAS, NV)",UNITED STATES,ROYAL WEST,Royal West Airlines
RWG,"C & M AIRWAYS, INC. (EL PASO, TX)",UNITED STATES,RED WING,C&M Airways
RWK,AIR TOURISME INSTRUCTION SERVICES,FRANCE,AIRAWAK,Air Tourisme Instruction Services
RWL,"RWL GERMAN FLIGHT ACADEMY GMBH, MOENCHENGLADBACH",GERMANY,RHEINTRAINER,RWL German Flight Academy
RWN,"RED WINGS, S.A. DE C.V.",MEXICO,ROJAS,Red Wings
RWZ,AIRLINES 400 JSC (RED WINGS AIRLINES),RUSSIAN FEDERATION,AIR RED,Red Wings
RXA,AUSTRALIA WIDE AIRLINES LTD T/A REGIONAL EXPRESS 2,AUSTRALIA,,Regional Express Airlines
RXC,INTERNATIONAL FEDERATION OF RED CROSS AND RED CRESCENT SOCIETIES (IFRC),SWITZERLAND,,International Federation of Red Cross and Red Crescent Societies
RXF,"SHANDONG DAGAO INTERNATIONAL FLIGHT ACADEMY CO., LTD",CHINA,AIDEN,Shandong Dagao International Flight Academy
RXI,RIYADH AIR,SAUDI ARABIA,RIYADH AIR,Riyadh Air
RXP,RAM EXPRESS,MOROCCO,EXPRESS MAROC,Ram Express
RXT,"AEROXTRA, S.A. DE C.V.",MEXICO,AERO-EXTRA,Aeroxtra
RXX,KING AIR CHARTER,SOUTH AFRICA,,King Air Charter
RYA,"RYAN AIR, INC. (ANCHORAGE, AK)",UNITED STATES,RYAN AIR,Ryan Air Service
RYB,ROYAL BAHRAIN AIRLINES BSC (CLOSED),BAHRAIN,ROYAL BAHRAIN,Royal Bahrain Airlines
RYJ,AEROTAXIS DEL MEDITERRANEO S.L.,SPAIN,RYJET,Aerotaxis Del Mediterraneo
RYL,"ROYAL AIR CHARTER SERVICE, INC.",PHILIPPINES,DOUBLE GOLD,Royal Air Philippines
RYN,"RYAN AVIATION CORPORATION D/B/A RYAN INTERNATIONAL AIRLINES (WICHITA, KS)",UNITED STATES,RYAN INTERNATIONAL,Ryan Aviation Corporation
RYR,RYANAIR,IRELAND,RYANAIR,Ryanair
RYS,RYANAIR SUN S.A.,POLAND,MAGIC SUN,Buzz
RYW,ROYAL WINGS,JORDAN,ROYAL WINGS,Royal Wings
RZB,REGIONAL LINHAS AEREAS S/A,BRAZIL,AERO REGIONAL,Regional Linhas Aereas
RZN,GRIDIRON AIR LLC,UNITED STATES,REDZONE,Gridiron Air
RZO,SATA INTERNACIONAL - AZORES AIRLINES S.A,PORTUGAL,AIR AZORES,Azores Airlines
RZR,"ZEPHYR EXPRESS (BURBANK, CA)",UNITED STATES,RECOVERY,Zephyr Express
RZT,"SUN RITZ JET CO., LTD",CHINA,RITZ JET,Sun Ritz Jet
SAA,SOUTH AFRICAN AIRWAYS (SAA),SOUTH AFRICA,SPRINGBOK,South African Airways
SAB,SCHMIEDEL AIR SERVICE TCHAD,CHAD,CHEETAH,Sky Way Air
SAC,SUDANESE AERONAUTICAL SERVICES CO. LTD (SASCO AIRLINES),SUDAN,SASCO,SASCO Airlines
SAE,"SAMPOERNA AIR NUSANTARA, PT.",INDONESIA,SAMPOERNA,Sampoerna Air Nusantara
SAF,REPUBLIC OF SINGAPORE AIR FORCE,SINGAPORE,SINGA,Singapore Air Force
SAG,CHINA SOUTHERN AIRLINES GENERAL AVIATION LIMITED,CHINA,AERO EAGLE,China Southern Airlines General Aviation
SAH,SMART JET SP. Z O.O.,POLAND,SMART JET,Smart Jet
SAI,SHAHEEN AIR INTERNATIONAL,PAKISTAN,SHAHEEN AIR,Shaheen Air International
SAJ,"SAINT JET CO., LTD.",CHINA,SAINT JET,Saint Jet
SAK,RED ARROWS DISPLAY SQUADRON,UNITED KINGDOM,RED ARROWS,Red Arrows Display Squadron
SAL,SOCIEDAD AERONAUTICA PENINSULAR S.L.,SPAIN,,Sociedad Aeronautica Peninsular
SAM,USAF'S 89TH AIRLIFT WING- ANDREWS AIR FORCE BASE,UNITED STATES,SAM,USAF 89th Airlift Wing Andrews Air Force Base
SAN,SILVAIR SP. Z.O.O.,POLAND,SILVAIR NET,Silvair
SAO,SAHEL AVIATION SERVICE,MALI,SAVSER,Sahel Aviation Service
SAP,"AVIA JAYNAR, AIR COMPANY LLC",KAZAKHSTAN,TOBOL,Avia Jaynar
SAQ,SAFE AIR COMPANY,KENYA,SINBAD,Safe Air Company
SAR,SPRINTAIR CARGO SP. Z.O.O.,POLAND,SPRINTAIR CARGO,Sprintair Cargo
SAS,SCANDINAVIAN AIRLINES SYSTEM,SWEDEN,SCANDINAVIAN,Scandinavian Airlines
SAT,SERVICO ACOREANO DE TRANSPORTES AEREOS - EP (SATA),PORTUGAL,SATA,SATA Air Acores
SAU,"SERVICIOS AEREOS EUROPEOS Y TRATAMIENTOS AGRICOLAS, S.L. (SAETA)",SPAIN,,United Aviation Services
SAV,SUN AIR LIMITED LIABILITY COMPANY,VIET NAM,SUN AIR,Sun Air Limited Liability Company
SAW,CHAM WING AIRLINES,SYRIAN ARAB REPUBLIC,SHAMWING,Cham Wing Airlines
SAX,SABAHAIR AVIATION SDN. BHD.,MALAYSIA,SABAH AIR,Sabah Air
SAY,AIR COMPANY SKY GATES AIRLINES LLC,RUSSIAN FEDERATION,SKY PATH,Sky Gates Airlines
SAZ,"SWISS AIR-AMBULANCE LTD., ZURICH",SWITZERLAND,SWISS AMBULANCE,Swiss Air-Ambulance
SBA,SOL LINHAS AEREAS LTDA,BRAZIL,SOL BRASIL,SOL Linhas Aereas
SBB,SKYBRIDGE INTERNATIONAL BALKAN DOO,SERBIA,BALKAN JET,Skybridge International Balkan
SBC,MOUNT AIR CC T/A EMOYENI AIR CHARTER,SOUTH AFRICA,SABIAN AIR,Emoyeni Air Charter
