3Ltr,Company,Country,Telephony,FriendlyName
AFX,AIRFREIGHT EXPRESS LIMITED,UNITED KINGDOM,,Airfreight Express
AFY,AFRICA CHARTERED SERVICES,NIGERIA,AFRICA CHARTERED,Africa Chartered Services
AFZ,ATLANTIC FLIGHT TRAINING ACADEMY,IRELAND,AFTA,Atlantic Flight Training Academy
AGA,ASHIANEH,IRAN (ISLAMIC REPUBLIC OF),IRAN HANGAR,Ashianeh
AGB,AIR-SERVICE-GABON,GABON,,Air Service Gabon
AGD,"AGRICOLAIR, S.L.",SPAIN,,Agricolair
AGE,AEROMANAGE,LITHUANIA,AEROMANAGE,Aeromanage
AGF,AIR GEORGIA,GEORGIA,AIR GEORGIA,Air Georgia
AGH,ALTAGNA,FRANCE,ALTAGNA,Altagna
AGM,"AVIATION WEST CHARTERS (SCOTTSDALE, AZ)",UNITED STATES,ANGEL MED,Aviation West Charters
AGN,COMPAGNIE NATIONALE AIR GABON,GABON,GOLF NOVEMBER,Compagnie Nationale Air Gabon
AGO,AAC-ANGOLA AIR CHARTER LIMITED,ANGOLA,ANGOLA CHARTER,Angola Air Charter
AGP,AERFI GROUP PLC,IRELAND,AIR TARA,AERFI Group
AGR,ASL BV,NETHERLANDS,ACE EUROPE,Air Charters Europe
AGS,"AOT GROUND AVIATION SERVICES CO., LTD.",THAILAND,BLUE PORT,Aot Ground Aviation Services
AGT,AMADEUS GLOBAL TRAVEL DISTRIBUTION S.A.,SPAIN,AMADEUS,Amadeus IT Group
AGU,ANGARA AIRLINES JSC,RUSSIAN FEDERATION,SARMA,Angara Airlines
AGV,AIR GLACIERS SA,SWITZERLAND,AIR GLACIERS,Air Glaciers
AGY,AIR GO EGYPT,EGYPT,EGYPTIAN BIRD,Air Go Egypt
AHB,AIR ALBORAN S.L.,SPAIN,ALHAMBRA,Air Alboran
AHD,CZECH AIR HANDLING,CZECHIA,AIRHANDLING,Czech Air Handling
AHE,AIRPORT HELICOPTER AHB AG,SWITZERLAND,AIRPORT HELICOPTER,Airport Helicopter
AHF,"ASPEN HELICOPTERS, INC. (OXNARD, CA)",UNITED STATES,ASPEN,Aspen Helicopters
AHH,AIRPLANES HOLDINGS LTD,IRELAND,AIRHOLD,Airplanes Holdings
AHI,"SERVICIOS AEREOS DE CHIHUAHUA AEROCHISA, S.A. DE C.V.",MEXICO,AEROCHISA,Servicios Aereos de Chihuahua Aerochisa
AHJ,"AVIONES Y HELICOPTEROS EJECUTIVOS, S.A. DE C.V.",MEXICO,AVYCOP,Aviones y Helicopteros Ejecutivos
AHK,AHK AIR HONG KONG LIMITED,CHINA,AIR HONG KONG,Air Hong Kong
AHL,"AEROLINEAS HIDALGO, S.A. DE C.V.",MEXICO,HIDALGO,Aerolineas Hidalgo
AHM,"ATLANTIS HELICOPTERS DE MEXICO, S.A. DE C.V.",MEXICO,HELI ATLANTIS,Atlantis Helicopters De Mexico
AHN,AVIA GROUP HANDLING LLC,RUSSIAN FEDERATION,,Avia Group Handling
AHS,AHS AIR INTERNATIONAL (PVT) LTD,PAKISTAN,HIGH SKY,AHS Air International
AHT,"HTA HELICOPTEROS, LDA",PORTUGAL,HELIAPRA,HTA Helicopteros
AHU,ABC AIR HUNGARY LTD,HUNGARY,ABC HUNGARY,ABC Air Hungary
AHW,SKY CAPITAL AIRLINES LTD.,BANGLADESH,SKY CAPITAL,Sky Capital Airlines
AHX,"AMAKUSA AIRLINES CO., LTD",JAPAN,AMAKUSA AIR,Amakusa Airlines
AHY,"AZERBAIJAN HAVA YOLLARI, NATIONAL AIRLINE",AZERBAIJAN,AZAL,Azerbaijan Airlines
AIA,AMELIA,FRANCE,AMELIA,Amelia
AIB,AIRBUS INDUSTRIE,FRANCE,AIRBUS INDUSTRIE,Airbus
AIC,AIR INDIA LIMITED,INDIA,AIRINDIA,Air India
AIE,AIR INUIT LTD,CANADA,INUIT,Air Inuit
AIF,AIM AVIATION,ISRAEL,,Aim Aviation
AIG,AIR INTER GABON,GABON,,Air Inter Gabon
AIH,AIR INCHEON CO. LTD,REPUBLIC OF KOREA,AIR INCHEON,Air Zeta
AIJ,"ABC AEROLINEAS, S.A. DE C.V.",MEXICO,ABC AEROLINEAS,ABC Aerolineas
